idx,count_00_00_00,count_00_30_00,count_01_00_00,count_01_30_00,count_02_00_00,count_02_30_00,count_03_00_00,count_04_00_00,h3id,point,poly
10,7.0,7,6.0,5.0,5.0,,,,892f5a30d4fffff,POINT(139.737399612663 35.7519273819883),"POLYGON((139.739386099172 35.7514557726294, 139.738819829112 35.7532092777358, 139.736833306433 35.753680855634, 139.735413150584 35.7523989473013, 139.735979470373 35.7506454951912, 139.737965896286 35.7501738984177, 139.739386099172 35.7514557726294))"
11,16.0,16,16.0,14.0,13.0,10.0,10.0,9.0,892f5a30d83ffff,POINT(139.739089255303 35.7353358159155),"POLYGON((139.74107533135 35.7348639801082, 139.740509214971 35.7366175213921, 139.738523102768 35.7370893257536, 139.737103203671 35.7358076076939, 139.737669369762 35.7340541194099, 139.739655385241 35.7335822961859, 139.74107533135 35.7348639801082))"
12,5.0,5,5.0,,,,,,892f5a30d87ffff,POINT(139.735683378701 35.7345258986077),"POLYGON((139.737669369762 35.7340541194099, 139.737103203671 35.7358076076939, 139.735117176461 35.7362793554447, 139.733697412063 35.7349976337802, 139.734263627855 35.7332441984987, 139.736249558346 35.7327724318794, 139.737669369762 35.7340541194099))"
13,5.0,5,5.0,,,,,,892f5a30d97ffff,POINT(139.738235513258 35.7323006212364),"POLYGON((139.740221492585 35.7318287665687, 139.739655385241 35.7335822961859, 139.737669369762 35.7340541194099, 139.736249558346 35.7327724318794, 139.736815715395 35.7310189552634, 139.738801634159 35.730547113177, 139.740221492585 35.7318287665687))"
14,34.0,34,34.0,29.0,29.0,19.0,19.0,15.0,892f5a30db7ffff,POINT(139.728872284566 35.7329058833975),"POLYGON((139.730858105631 35.7324342173937, 139.730291840151 35.7341875996702, 139.728305982947 35.7346592342246, 139.726886487936 35.7333775053832, 139.727452803094 35.7316241761143, 139.729438563588 35.7311525226793, 139.730858105631 35.7324342173937))"
15,24.0,24,24.0,17.0,17.0,10.0,10.0,6.0,892f5a320a7ffff,POINT(139.82760609174 35.6996868863684),"POLYGON((139.829592863143 35.6992129180924, 139.829028470326 35.7009678669039, 139.827041662679 35.7014418038149, 139.825619344551 35.7001608105873, 139.826183787306 35.698405914724, 139.828170498255 35.6979319591403, 139.829592863143 35.6992129180924))"
16,11.0,11,11.0,8.0,7.0,,,5.0,892f5a320c7ffff,POINT(139.842102950708 35.705950637159),"POLYGON((139.844090157438 35.7054764604586, 139.843525955666 35.7072316328275, 139.841538712666 35.7077057781657, 139.840115768166 35.706424769784, 139.840680019928 35.7046696503514, 139.842667166204 35.7041954863646, 139.844090157438 35.7054764604586))"
17,16.0,16,16.0,11.0,11.0,10.0,10.0,7.0,892f5a32113ffff,POINT(139.814828667895 35.6994940056816),"POLYGON((139.816815197257 35.6990202830383, 139.816250595886 35.7007750318434, 139.814264030298 35.7012487231145, 139.812842162772 35.6999676842778, 139.81340681404 35.6982129884299, 139.815393282941 35.6977392784618, 139.816815197257 35.6990202830383))"
18,,5,5.0,,,,,,892f5a32117ffff,POINT(139.811420369381 35.6986866543535),"POLYGON((139.81340681404 35.6982129884299, 139.812842162772 35.6999676842778, 139.810855681892 35.7004413188279, 139.809433948968 35.6991602762336, 139.809998650123 35.6974056333455, 139.811985034319 35.6969319800922, 139.81340681404 35.6982129884299))"
19,5.0,5,5.0,,,,,,892f5a32147ffff,POINT(139.813991964886 35.7077939291382),"POLYGON((139.815978699633 35.7073203193184, 139.81541402173 35.7090750505218, 139.813427250751 35.7095486289619, 139.812005254387 35.7082674949023, 139.812569982196 35.7065128166544, 139.814556656466 35.7060392195108, 139.815978699633 35.7073203193184))"
